"Slug","Title","Video Url","Image","Image:alt","Content","Designer","URL","Year"
"epyc-merchandise-tshirt-concept-design-(green-variant)","EPYC Merchandise : T-Shirt Concept & Design (Green Variant)","","assets/OMyjT3SXVAVwLKBojgUECF2Ng.png","","<p dir=""auto"">Part of the EPYC Rebrand. Featuring the new merchandise for the team. Design by Ashish Kumar and 3D Concept by Abhishek Aravind.</p>","Ashish Kumar, Abhishek Aravind","","2022"
"epyc-merchandise-t-shirt-concept-design-(black-variant)","EPYC Merchandise : T-Shirt Concept & Design (Black Variant)","","assets/K19eC6Ysfv7HUI5wUz9qDy7mYQ.png","","<p dir=""auto"">Part of the EPYC Rebrand. Featuring the new merchandise for the team. Design by Ashish Kumar and 3D Concept by Abhishek Aravind.</p>","Ashish Kumar, Abhishek Aravind","","2022"
"epyc-merchandise-tshirt-concept-design-(red-variant)","EPYC Merchandise : T-Shirt Concept & Design (Red Variant)","","assets/AlzWaL6l5RLRkLubbqkW71BaDYA.png","","<p dir=""auto"">Part of the EPYC Rebrand. Featuring the new merchandise for the team. Design by Ashish Kumar and 3D Concept by Abhishek Aravind.</p>","Ashish Kumar, Abhishek Aravind","","2022"
"epyc-merchandise-aurévra--bottle-design","EPYC Merchandise : AURÉVRA- Bottle Design","","assets/xyuuUDJliPs9ngpNukigqnTSgt8.jpg","","<p dir=""auto"">Resources from the EPYC Rebrand, a bottle design for EPYC that harmoniously reflects the brand's identity, with a strong emphasis on the butterfly-inspired logo, ensuring that the design conveys elegance, transformation, and uniqueness.</p>","Amrit Thakkar","https://www.behance.net/gallery/209815679/AUREVRA-Bottle-Design-for-EPYC-Re-brand","2024"
"pesto-2","Pesto : Bar Graph","","assets/y0WRp1jR9rHSxUCzaSSKswn0o.png","","<p dir=""auto"">3D cylindrical graph asset made in Cinema 4D and rendered with Redshift for the client Pesto.</p>","Abhishek Aravind","https://pesto-tech.webflow.io/","2022"
"pesto-1","Pesto : Planar Graph","","assets/1auMGgIzhXyWd3YboEIyGJj9s7U.png","","<p dir=""auto"">3D Graph asset made in Cinema 4D and rendered with Redshift for the client Pesto.</p>","Abhishek Aravind","https://pesto-tech.webflow.io/","2022"
"accessories","Accessories","","assets/emK8bIl43jtIkb6hcViP52VX6y4.png","","<p dir=""auto""><br></p>","Abhishek Aravind","",""
"block","Block","","assets/JoyvtkTOnXDKM415MBg9yGzfbA.png","","<p dir=""auto""><br></p>","Abhishek Aravind","",""
"blogs","Blogs","","assets/y8v1etRlfmMoyd4sms4Fdkchg.png","","<p dir=""auto""><br></p>","Abhishek Aravind","",""
"case-study","Case Study","","assets/41oxrfOzIuykel3zCvXwpyZ5Bg.png","","<p dir=""auto""><br></p>","Abhishek Aravind","",""
