"Slug","Title","Thumbnail","Thumbnail:alt","Type","Project Industry","Project Platform","Redirect Link","Featured Project?"
"blue-copa","Blue Copa","assets/MspG2YIWMeAzQy6ofCM09LeltI.webp","","WEBFLOW, UI-UX, INTERACTIONS","finance","website","https://www.bluecopa.com/","No"
"liberate-global","Liberate Global","assets/DYamKaYMre6AG3FW3h7l3zU0k4.png","","WEBFLOW, UI-UX, INTERACTIONS","vc","website","https://www.liberateglobal.com/","No"
"who-tm-summit","WHO - TM Summit","assets/DrholzUbCeKzcDVtSwEFLN1HxE.png","","WORDPRESS","healthcare","website","https://tm-summit.org/","No"
"tetr","Tetr","assets/zqfmjPJUvD24NruhrWaIDYPBf1k.webp","","WEBFLOW, UI-UX, BRANDING, INTERACTIONS","edtech","website","https://tetr.com/","No"
"anandi-school","Anandi School","assets/N09IzQy1QLUzyPitkLxKA7kl2Ng.webp","","FRAMER, UI-UX, INTERACTIONS","other","website","https://anandi.org/","No"
"the-product-folks","The Product Folks","assets/AF17GtwWswCOeFPE1RtSIb0ZVVA.png","","WEBFLOW, UI-UX, INTERACTIONS","community-initiative","website","https://theproductfolks.com/","No"
"idta","IDTA","assets/nQIwtdyTO0ImUbZNhFwIvZ37M.png","","WEBFLOW, UI-UX, INTERACTIONS","vc","website","https://idtalliance.org/","No"
"healthquad","Healthquad","assets/YWsOCrE2zQ26hEqXM3mlxNoU.png","","FRAMER, UI-UX, INTERACTIONS","saas","website","https://www.healthquad.com/","No"
"dsg-cp","DSG CP","assets/LLDM6mptdFWDDjvOXzMhXSYwfE.webp","","WEBFLOW, UI-UX, INTERACTIONS","vc","website","https://www.dsgcp.com/","No"
"miden","Miden","assets/6ctKv1mWoowT3i5QjqEY8cpBBwU.png","","WEBFLOW, UI-UX, INTERACTIONS","web3","website","https://miden.xyz/","No"
"polygon","Polygon","assets/7Ql5MP7u1jXJ69ZQUw5e7o1tMU.png","","WEBFLOW, INTERACTIONS","web3","website","https://polygon.technology/","Yes"
"plum-hq","Plum HQ","assets/lB7xt9A0ReUM3hjaHFTp8kCY9eA.webp","","WEBFLOW, UI-UX, INTERACTIONS","healthcare","website","https://plum-ri.webflow.io/","Yes"
"kaviraj-securities","Kaviraj Securities","assets/Lnce8dRFGCJbRIUka44Js4THZA4.png","","WEBFLOW, UI-UX, INTERACTIONS, BRANDING","finance","website","https://kavirajsecuritiesv2.webflow.io/","Yes"
"ktimf","KTIMF","assets/mwldGWeEGBxPZlvSqEUy45NmhhI.png","","DEV, UI-UX, INTERACTIONS","other","website","https://www.ktimf.com/","No"
"trueoils","TrueOils","assets/CaMAVDAhfbihnQtZFkHwKzKUTI.png","","WORDPRESS, UI-UX","e‑commerce","website","https://trueoils.in/","No"
"accel-atoms-ai-chatbot","Accel Atoms AI Chatbot","assets/5V9C8mEs8YmknobGO51vHmyPg.png","","Custom Code","vc","app","https://atoms.accel.com/","No"
"upgrad-rekrut","upGrad Rekrut","assets/n1RgsoNzkjtfgYHh0CE0ToubA.png","","WEBFLOW, UI-UX, INTERACTIONS","services","website","https://upgrad-rekrut.com/","No"
"unboxing-blr","Unboxing BLR","assets/o09Kv1f96uvnMmPkB5ldbbkRuQo.png","","WEBFLOW, UI-UX, INTERACTIONS","community-initiative","website","https://www.unboxingblr.com/","No"
"shivalik-bank","Shivalik Bank","assets/GBeDhsEYe59WIzFKx97BFHYBZ9o.png","","WEBFLOW, UI-UX, INTERACTIONS","finance","website","https://shivalik.bank.in/","No"
"saasboomi-compass","SaaSBoomi Compass","assets/ScBgviZblhmiyx2vv4HXszLfQs.png","","BUBBLE.IO, UI-UX, INTERACTIONS","community-initiative","app","https://compass.saasboomi.org/","No"
"jetseam-corporate-portal","JetSeam Corporate Portal","assets/dAGW44JFG2NiVcYDglGIOeJ52E.png","","WEBFLOW, UI-UX, INTERACTIONS","other","app","https://app.jetseam.com/","No"
"accel-atoms-internal-review-application","Accel Atoms Internal Review Application","assets/HgR9JkIkXHG2TrzwAasBpKEzwAw.png","","Custom Code, UI-UX, INTERACTIONS","vc","app","https://review.accel-atoms.com/","No"
"3one4-capital-summit-2026","3One4 Capital - Summit 2026","assets/pnDAeUvKVkw2NzZAfAKqQylvJKc.png","","WEBFLOW, UI-UX, INTERACTIONS","vc","website","https://www.3one4capital.com/3one4-summit-2026","No"
"3one4-capital-summit-2025","3One4 Capital - Summit 2025","assets/JpAbRALm3PlgWzbKavgZEqEvDM.webp","","WEBFLOW, UI-UX, INTERACTIONS","vc","website","https://www.3one4capital.com/3one4-summit-2025","No"
"3one4-capital-summit-2024","3One4 Capital - Summit 2024","assets/WIZINmJj2UtpN0zRKN6fFag4bJk.png","","WEBFLOW, UI-UX, INTERACTIONS","vc","website","https://www.3one4capital.com/3one4-summit-2024","No"
"seedtoscale-by-accel","SeedtoScale by Accel","assets/WSPZhnVqH1vfozTi19TffL1lMU.webp","","BRANDING, UI-UX, DEVELOPMENT","vc","website","seedtoscale.com","Yes"
"accel-atoms","Accel Atoms","assets/KyeKdd4Pw9aeisVPB7EKpsKRNfA.png","","WEBFLOW, INTERACTIONS","saas","website","atoms.accel.com","Yes"
"gokwik","GoKwik","assets/vGpo90ka2h6cKMdKF4OMwjSVM.png","","UI-UX, INTERACTIONS","services","website","gokwik.co","Yes"
"upgrad-enterprise","upGrad Enterprise","assets/kC4LOoSu2KXiAfUzsphec6gq1Ng.webp","","WEBFLOW, UI-UX, INTERACTIONS","vc","website","www.upgrad-enterprise.com/","Yes"
"accel-cybersecurity-summit-2024","Accel Cybersecurity Summit 2024","assets/SZmzJquTPHbjwgFrrhX9oX3hQ5k.webp","","WEBFLOW, INTERACTIONS","saas","website","https://events-in.accel.com/cybersecurity-summit-2024","No"
"factors-design","Factors Design","assets/NMWFWEYsktnLjSgRrWYGxQTPjA.jpg","","WEBFLOW, UI-UX, INTERACTIONS","saas","website","https://www.factors.design/","Yes"
"antler-theory-of-next","Antler - Theory of Next","assets/h6pkJDNiTDQbGQMGhMzeFlPFrDg.webp","","WEBFLOW, UI-UX, INTERACTIONS","vc","website","https://www.theoryofnext.com/","Yes"
"rapid-canvas","Rapid Canvas","assets/bAaPhu6e9bV8ChsfcAwZxmtTqc.png","","WEBFLOW, INTERACTIONS","saas","website","https://www.rapidcanvas.ai/","No"
"elevation-capital-bottomline","Elevation Capital - Bottomline","assets/PH6XgIwL6xWG2FstaYGRWMtAu4.webp","","WEBFLOW, UI/UX, INTERACTIONS","vc","website","https://bottomline.elevationcapital.com/","No"
"perpetual-capital","Perpetual Capital","assets/FPSaYcPv1Sn5yOfMsWxmStKpHME.webp","","FRAMER, UI/UX, INTERACTIONS","vc","website","https://www.perpetualcapital.co.in/","No"
"nexocean","Nexocean","assets/3x6y9giGyXUdEQim33l6d53LfIE.webp","","WEBFLOW, UI-UX, INTERACTIONS","vc","website","https://www.nexocean.com/","No"
"andromeda-security","Andromeda Security","assets/htqwAXuunVVvKXTL6R3SmxWqO1o.webp","","WEBFLOW, INTERACTIONS","vc","website","https://www.andromedasecurity.com/","No"
"cxo-axis","CXO Axis","assets/OwcDPMx3FsABaJBaaWaPUpj1MAE.webp","","WEBFLOW, UI-UX, INTERACTIONS","community-initiative","website","https://cxoaxis.com/","No"
"pesto-tech","Pesto Tech","assets/0mxgXnJFbu1nhjUvkJG0oELY.png","","WEBFLOW, 3D, UI-UX, INTERACTIONS","edtech","website","https://pesto-tech.webflow.io/","No"
"prashant-prakash-foundation","Prashant Prakash Foundation","assets/Amz7vU69D80aaFdfPD2Mczr5Hxk.png","","FRAMER, UI-UX, INTERACTIONS","ngo","website","https://prashanthprakashfamilyfoundation.org/","No"
"dallas-vc","Dallas VC","assets/t4yIQxGXnmo0120upr0eGMxk.webp","","WEBFLOW, UI-UX, INTERACTIONS","vc","website","https://dallasvc.com/","No"
